d4c632c,,1,1,1
3be02a6,,1,1,1
c3d2671,,1,1,1
c3d671c,,0,0,13
218a2ca,,0,0,1
d392646,,28,6,1
5c5323d,,2,1,1
6924058,,2,0,1
c5fdb75,,3,3,1
1ef47d1,,5,5,1
53d8390,,6,1,1
239d5fe,,3,1,1
3a758c1,,1,2,1
d33c36b,,2,2,1
9e3edc3,,4,2,1
4c5c01e,,0,0,1
a190251,,1,0,1
a3d5fe8,,1,1,1
7a95ad2,,0,0,1
1aa0b6a,,0,0,1
0e7df5f,,1,1,1
b103642,,43,1,7
4a2c17b,,0,0,1
fcd342c,,0,0,0
5f6f1ac,,1,0,4
3feb3dd,,19,3,2
8729c56,,20,12,1
19a81e2,,13517,0,71
6dfc7ca,,131,129,2
ab97785,,0,13438,48
5d48ccc,,0,11,1
53af107,,1,1,3
4cf5578,,4,4,2
54ff882,,3,3,1
b55f666,,7,7,2
99df1e6,,0,1,82
fa51af7,,8,1,1
abc9cb6,,1,1,1
9215887,,1,1,1
05c3c4e,,2,0,2
51ff78c,,13,8,6
5427c19,,0,0,3
6f94852,,3,3,2
c48bdfd,,23,27,1
e2aa2a8,,0,0,2
26826cc,,1,0,1
82b2b14,,0,0,1
e1a5206,,1,1,1
f534978,,1,1,3
9ba930e,,2,3,1
d52f4e1,,3,2,1
89fc32b,,0,0,2
aaa08bc,,149158,0,11
9e2252c,,0,0,35
8f6c79f,,0,0,1
52d6e4b,,2,0,7
2838692,,10,10,1
b4fd6a5,,5,5,1
0d8164c,,41,41,1
22fc97a,,5,5,1
d64a280,,5,5,1
4cc3e4b,,41,41,1
c465455,,5,5,1
2bd9c04,,10,10,1
6bdf09b,,2,2,1
5c21e37,,14,17,1
ec082af,,5,6,1
6eec414,,4,4,1
59ef19e,,0,0,3
cb84d66,,4,4,1
7d6948f,,5,6,1
7718825,,14,17,1
297af9d,,1581,1,4
61d6b17,,2,2,3
a970b07,,1,0,1
979f91d,,9,0,1
b352571,,1,1,1
cd09462,,2,2,1
01ac128,,132,2,2
c7f743f,,35,2,4
b36997b,,3,0,1
18bec7c,,82,31,1
6871049,,3,0,1
e0bb841,,88,17,3
d21595d,,5,3,2
dfe10c4,,79,104,7
ede2085,,153,102,9
40bc54d,,8,1,2
4d95c5e,,8,1,2
7994c85,,3,3,1
a5c5c9a,,496,1148,3
ad1baac,,48,5,6
9a16b82,,1,1,1
198334c,,136,145,3
1214af7,,0,0,1
09ed34a,,35,16,2
9201796,,38,32,2
234e73f,,1,1,3
7623158,,9,15,1
a8164cb,,241,291,3
c57cbce,,69,124,2
1875b78,,1,1,1
1b4d8b3,,17,17,1
e81bc47,,315,312,1
ef704c4,,357,368,1
d62c50e,,368,357,1
c9d70c2,,7,8,1
da7ed01,,431,68,2
e131eef,,3,2,1
af90743,,4,3,1
a51d18c,,913,899,9
fe7e2d8,,234,126,7
ac8c11c,,1554,668,13
07a7bf4,,408,694,7
9394444,,20,0,1
e116124,,42,8,6
c46e164,,68,18,3
3303ab9,,6,2,2
2255427,,0,0,1
d3dc1a8,,7,1,1
9a13e41,,115,114,1
3669d44,,7,0,1
7bf8c14,,1,1,1
86a9619,,1,1,1
6f36067,,1,0,1
477d427,,771,431,6
6e9879f,,127,4,11
6600e97,,4,20,2
ff301f1,,1,0,1
757c03f,,3,282,4
8e81f79,,4,0,1
5c30528,,0,4,1
15290ee,,326,382,6
1a3f3d7,,0,0,1
c1cea44,,352,276,6
6ec232e,,0,0,1
951c231,,3,4,1
f99dc28,,2,1,1
096995e,,24,6,2
6bf9264,,5,5,2
637b3d6,,8,8,1
f23f3a0,,11,11,1
62e219f,,5,5,1
4dc6484,,1,1,1
eb41449,,2,2,1
a5c3ece,,3,3,1
adb103c,,7,7,1
112fe17,,6,2,1
146fe5b,,1,1,1
b1379a0,,1,24,1
993d733,,617,0,9
751693a,,2,2,2
6e8f743,,1,5,1
7f7d0cd,,0,2,1
0d50055,,2,1,1
9b5e135,,1,1,1
8878cd0,,0,0,1
c92b858,,1,1,1
81ed9ec,,15,1,1
04a2127,,1,0,1
e8b0a3c,,3,8,1
8987a7b,,2,2,1
a363063,,0,1,1
c75ffee,,1,1,1
4a6f171,,2,2,1
2373f1b,,12,2,1
b93f3cd,,8,5,3
eef7d61,,1,1,1
828693b,,1,1,1
cc81f5f,,1,1,1
4823989,,1,1,1
1ba6c36,,1,1,1
fc1bb57,,16,8,1
9738da4,,3,1,1
445c79e,,1,1,1
6db04a2,,2,2,1
b920434,,3,3,1
771dc1a,,4657,0,22
adbfdf7,,1,1,4
bb850e1,,18,1,3
f049fab,,0,0,0
bb99fc9,,55,0,1
31b6271,,35,0,1
15988bc,,90,0,2
495f535,,20,17,9
a9ecc1e,,107,0,3
1d5dfaa,,2,2,2
8455137,,43,30,1
3d962ea,,33,29,1
601ffc2,,15,0,2
db22b4e,,4,1,1
e73e57c,,3,0,1
391eb4c,,5,0,1
16f89c2,,80,1,3
7313205,,145,25,3
649669e,,1,1,1
a4d41c4,,6,0,1
d5a3e3e,,619,7,12
0646eb8,,0,2,1
3739c13,,190,3,8
8f729d5,,24,2,2
70c166b,,221,0,3
06fcba5,,10,10,35
c954308,,70,249,13
e11ca56,,36,1,2
ed36f3c,,28,143,6
f4266ee,,87,82,4
88fc02c,,82,254,13
459adb1,,40,2863,20
2c4ef05,,192,23,9
be4fab5,,1,56,2
370701c,,50,24,5
a5d29f2,,87,228,7
6b14b47,,186,31,12
db05cb7,,99,19,14
2a0e395,,27,44,6
d536645,,45,3,3
e4d07fc,,58,9,2
bc15168,,147,8,7
19eff5c,,1,0,1
5854efa,,473,39,15
c51c0c1,,74,49,10
6bf208c,,39,61,6
878986f,,65,10,2
005a06b,,1,3,1
a8f7276,,160,161,13
337ef52,,26,27,5
96d0166,,2658,0,2
5efa091,,72,1,1
256dbc2,,97,177,16
2bcde0a,,180,79,7
954f1ad,,156,96,8
23544cc,,191,8,4
ffc60c2,,890,5,5
7bb5b38,,42,10,5
574432e,,91,20,7
d672b74,,250,19,7
4f28625,,1,1,1
bb5ed5f,,121,24,9
8454afa,,24,19,2
2199d8a,,3,4,2
f1d621b,,76,7,8
03c6a2c,,46,4,1
70a4f02,,56,19,7
d508f39,,98,17,8
2800a10,,46,191,10
f5399e4,,59,16,8
9910cb7,,1,1,1
a946f55,,95,51,4
fa4440f,,15,6,2
b05f102,,318,256,15
0f49eb4,,106,53,5
4010a9f,,29,46,6
c2c6638,,116,113,9
b042594,,248,155,6
79cd1b8,,140,35,11
3757e76,,11,3,5
f47db4a,,28,2,5
2438c1d,,26,0,2
7e0719f,,78,15,3
ab27a4a,,48,9,3
5e2f467,,13,5,1
c599a11,,232,199,5
c42b336,,50,23,16
7e2d885,,207,18,9
211342d,,91,11,9
74436b9,,33,8,3
66faf1a,,76,21,7
176c0e4,,16,2,1
67137f1,,12,1,1
27988c9,,424,402,1
5370f0c,,41,18,3
bc477d8,,72,12,7
