dependabot/npm_and_yarn/postcss-7.0.36,master,246729822,1f99760,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/postcss-7.0.36.zip
dependabot/npm_and_yarn/ws-5.2.3,master,246729822,dd920c2,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/ws-5.2.3.zip
dependabot/npm_and_yarn/elliptic-6.5.3,master,246729822,1f74058,77,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/elliptic-6.5.3.zip
dependabot/npm_and_yarn/vue-property-decorator-9.1.2,master,246729822,0b9ada5,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/vue-property-decorator-9.1.2.zip
dependabot/npm_and_yarn/highlight.js-9.18.5,master,246729822,3f3feb1,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/highlight.js-9.18.5.zip
dependabot/npm_and_yarn/ini-1.3.8,master,246729822,1abe12c,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/ini-1.3.8.zip
dependabot/npm_and_yarn/axios-0.21.1,master,246729822,3c0a778,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/axios-0.21.1.zip
master,master,152255319,f9e855a,534,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/master.zip
dependabot/npm_and_yarn/web/path-parse-1.0.7,master,152255319,0155636,535,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/path-parse-1.0.7.zip
dependabot/npm_and_yarn/web/tar-4.4.15,master,152255319,04fc45c,535,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/tar-4.4.15.zip
dependabot/gradle/com.amazonaws-aws-java-sdk-ses-1.12.38,master,152255319,a60c3fb,535,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/gradle/com.amazonaws-aws-java-sdk-ses-1.12.38.zip
dependabot/npm_and_yarn/web/core-js-3.16.0,master,152255319,c541817,535,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/core-js-3.16.0.zip
dependabot/npm_and_yarn/web/url-parse-1.5.3,master,152255319,760dedb,535,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/url-parse-1.5.3.zip
dependabot/npm_and_yarn/web/websocket-extensions-0.1.4,master,152255319,8443b0a,514,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/websocket-extensions-0.1.4.zip
dependabot/npm_and_yarn/web/dot-prop-4.2.1,master,152255319,58b817d,517,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/dot-prop-4.2.1.zip
dependabot/npm_and_yarn/web/http-proxy-1.18.1,master,152255319,40358ee,517,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/http-proxy-1.18.1.zip
dependabot/npm_and_yarn/web/vue-property-decorator-9.1.2,master,152255319,c6e08f1,527,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/vue-property-decorator-9.1.2.zip
dependabot/npm_and_yarn/web/highlight.js-9.18.5,master,152255319,7a85264,527,https://github.com/Frederick-S/nhk-easy-daily/archive/refs/heads/dependabot/npm_and_yarn/web/highlight.js-9.18.5.zip
master,master,246300470,98db2c3,93,https://github.com/Frederick-S/ebooks-api/archive/refs/heads/master.zip
dependabot/add-v2-config-file,master,246300470,e08c9a3,90,https://github.com/Frederick-S/ebooks-api/archive/refs/heads/dependabot/add-v2-config-file.zip
master,master,389235792,06cc860,"1,118",https://github.com/Frederick-S/web-clipper/archive/refs/heads/master.zip
master,master,202019741,8edaf77,57,https://github.com/rakzhodekams/Fireup/archive/refs/heads/master.zip
dependabot/npm_and_yarn/path-parse-1.0.7,master,202019741,1e35dd8,58,https://github.com/rakzhodekams/Fireup/archive/refs/heads/dependabot/npm_and_yarn/path-parse-1.0.7.zip
dependabot/npm_and_yarn/postcss-7.0.36,master,202019741,2e37e6a,57,https://github.com/rakzhodekams/Fireup/archive/refs/heads/dependabot/npm_and_yarn/postcss-7.0.36.zip
dependabot/npm_and_yarn/dns-packet-1.3.4,master,202019741,f590125,57,https://github.com/rakzhodekams/Fireup/archive/refs/heads/dependabot/npm_and_yarn/dns-packet-1.3.4.zip
dependabot/npm_and_yarn/websocket-extensions-0.1.4,master,202019741,05897f1,57,https://github.com/rakzhodekams/Fireup/archive/refs/heads/dependabot/npm_and_yarn/websocket-extensions-0.1.4.zip
dependabot/npm_and_yarn/elliptic-6.5.4,master,202019741,22657fb,57,https://github.com/rakzhodekams/Fireup/archive/refs/heads/dependabot/npm_and_yarn/elliptic-6.5.4.zip
dependabot/npm_and_yarn/url-parse-1.5.1,master,202019741,a5a18c9,57,https://github.com/rakzhodekams/Fireup/archive/refs/heads/dependabot/npm_and_yarn/url-parse-1.5.1.zip
master,master,248039469,7d47e31,146,https://github.com/rakzhodekams/Linux/archive/refs/heads/master.zip
main,main,383948614,abab688,2,https://github.com/rakzhodekams/adac/archive/refs/heads/main.zip
master,master,236620297,6649544,21,https://github.com/rakzhodekams/video_aulas/archive/refs/heads/master.zip
main,main,368500921,d7575d7,1,https://github.com/rakzhodekams/livros/archive/refs/heads/main.zip
main,main,375901058,2e8b947,24,https://github.com/shivangraikar/shivangraikar.github.io/archive/refs/heads/main.zip
master,master,395053334,63ac09e,"2,151",https://github.com/shivangraikar/Python/archive/refs/heads/master.zip
Python-3.10-beta-1,master,395053334,79dd0ec,"2,115",https://github.com/shivangraikar/Python/archive/refs/heads/Python-3.10-beta-1.zip
mypy_--install-types_--non-interactive,master,395053334,8ed670e,"2,132",https://github.com/shivangraikar/Python/archive/refs/heads/mypy_--install-types_--non-interactive.zip
Write-for-current-Python,master,395053334,0912246,"2,120",https://github.com/shivangraikar/Python/archive/refs/heads/Write-for-current-Python.zip
Fix-ftp-to-allow-doctests,master,395053334,a0d31fe,"1,097",https://github.com/shivangraikar/Python/archive/refs/heads/Fix-ftp-to-allow-doctests.zip
doubly_linked_list.py-Add-doctests,master,395053334,73b166f,"1,552",https://github.com/shivangraikar/Python/archive/refs/heads/doubly_linked_list.py-Add-doctests.zip
itsvinayak-patch-1,master,395053334,35b96fc,"1,611",https://github.com/shivangraikar/Python/archive/refs/heads/itsvinayak-patch-1.zip
max-complexityto-15,master,395053334,d798bee,"1,598",https://github.com/shivangraikar/Python/archive/refs/heads/max-complexityto-15.zip
Python-3.9rc2,master,395053334,d38369a,"1,733",https://github.com/shivangraikar/Python/archive/refs/heads/Python-3.9rc2.zip
main,main,363234446,ed7a8fb,28,https://github.com/shivangraikar/DataSciencevalue/archive/refs/heads/main.zip
add-license-1,main,363234446,f2bec73,25,https://github.com/shivangraikar/DataSciencevalue/archive/refs/heads/add-license-1.zip
master,master,398796381,adc1707,9,https://github.com/shivangraikar/golorem/archive/refs/heads/master.zip
master,master,275884974,16f609c,30,https://github.com/shivangraikar/WC-Generator/archive/refs/heads/master.zip
dependabot/pip/pillow-8.2.0,master,275884974,369d330,29,https://github.com/shivangraikar/WC-Generator/archive/refs/heads/dependabot/pip/pillow-8.2.0.zip
main,main,368899480,c3a0d59,17,https://github.com/shivangraikar/Distributed-Computing/archive/refs/heads/main.zip
main,main,367337176,e0f82d8,5,https://github.com/shivangraikar/NLP-Patient-summary/archive/refs/heads/main.zip
master,master,372276855,d01286d,235,https://github.com/shivangraikar/particles.js/archive/refs/heads/master.zip
dev,master,372276855,c18c1b4,241,https://github.com/shivangraikar/particles.js/archive/refs/heads/dev.zip
main,main,362507204,0be8296,1,https://github.com/shivangraikar/DS/archive/refs/heads/main.zip
master,master,280207138,d12fe80,27,https://github.com/shivangraikar/Twitter-Data-Mining-For-Targeted-Marketing/archive/refs/heads/master.zip
master,master,284735670,9d2564c,29,https://github.com/shivangraikar/Golang-Database/archive/refs/heads/master.zip
master,master,278401215,c69fb29,5,https://github.com/shivangraikar/website/archive/refs/heads/master.zip
